Ingredient,Storage,BestBefore,Remark
土豆,冷藏,30,避光冷藏
猪肉,冷冻,90,
牛肉,冷冻,90,
包菜,冷藏,7,
面食,常温,180,
米饭,常温,180,
午餐肉,常温,1095,
方便面,常温,365,
豆腐,冷藏,1,
